industry_code,industry_name,indicator_id,indicator_name,unit,1981,1986,1991,1996,2001,2006,2011,2016,2021,change_2016_to_2021_pct
H,Transportation and Storage,5,Total annual expenditures of enterprises,million NTD,131930.0,230013.0,387801.0,628724.0,807416.0,1072067.0,1247766.0,1342212.0,1677267.0,24.96
H,Transportation and Storage,6,Total annual output of enterprises,million NTD,135808.0,235987.0,406401.0,649094.0,794394.0,1056244.0,1263837.0,1330633.0,1722233.0,29.43
H,Transportation and Storage,7,Gross value added of enterprises,million NTD,66103.0,109112.0,215014.0,307695.0,328299.0,325597.0,412559.0,509326.0,816333.0,60.28
H,Transportation and Storage,8,Net assets in actual use (year-end),million NTD,320387.0,519355.0,929177.0,1488819.0,2781238.0,4318327.0,4598039.0,5799548.0,7484743.0,29.06
H,Transportation and Storage,9,Net fixed assets in actual use (year-end),million NTD,347456.0,394717.0,713915.0,1114206.0,2094188.0,3461310.0,3627758.0,4275002.0,5149238.0,20.45
H,Transportation and Storage,10(1),Average number of employees per enterprise,persons,18.0,8.7,6.7,5.8,5.7,6.1,6.5,7.9,8.3,4.63
H,Transportation and Storage,10(2),Average assets in actual use per enterprise,thousand NTD,21662.0,15074.0,20157.0,24241.0,43879.0,72634.0,84192.0,121241.0,161240.0,32.99
H,Transportation and Storage,11,Labour equipment ratio,thousand NTD,1203.0,1738.0,3003.0,4171.0,7637.0,11957.0,12913.0,15366.0,19530.0,27.1
H,Transportation and Storage,12,Labour productivity,thousand NTD,248.0,365.0,695.0,862.0,901.0,902.0,1159.0,1349.0,2130.0,57.89
H,Transportation and Storage,13(1),Gross value added per NTD of assets in actual use,NTD,0.21,0.21,0.23,0.21,0.12,0.08,0.09,0.09,0.11,24.2
H,Transportation and Storage,13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.19,0.28,0.3,0.28,0.16,0.09,0.11,0.12,0.16,33.06
H,Transportation and Storage,14,Labour compensation as % of total expenditures,%,30.17,26.49,31.33,29.06,23.06,18.56,17.89,19.52,17.11,-2.41
H,Transportation and Storage,15(1),Value-added ratio,%,48.67,46.24,52.91,47.4,41.33,30.83,32.64,38.28,47.4,9.12
H,Transportation and Storage,15(2),Profit ratio,%,5.41,5.99,9.77,7.47,4.63,6.91,5.91,6.67,29.99,23.32
H,Transportation and Storage,15(3),Asset turnover ratio,%,43.79,47.51,43.9,43.85,29.14,25.32,27.76,24.1,26.47,2.37
J,"Publishing, Audio-Visual and Information",1,Number of enterprises (year-end),establishments,2480.0,4743.0,3762.0,6309.0,8701.0,11904.0,13165.0,16430.0,23100.0,40.6
J,"Publishing, Audio-Visual and Information",2,Number of employees (year-end),persons,60754.0,71064.0,92790.0,127353.0,163833.0,179322.0,191660.0,225834.0,282718.0,25.19
J,"Publishing, Audio-Visual and Information",3,Average annual labour compensation per employed worker,NTD,169542.0,270683.0,490163.0,733756.0,835768.0,785844.0,816691.0,866522.0,995072.0,14.84
J,"Publishing, Audio-Visual and Information",4,Total annual receipts of enterprises,million NTD,45103.0,87043.0,187919.0,347614.0,717756.0,798619.0,910084.0,1092406.0,1193503.0,9.25
J,"Publishing, Audio-Visual and Information",5,Total annual expenditures of enterprises,million NTD,37873.0,64504.0,156770.0,286491.0,628575.0,718795.0,762461.0,961082.0,1044391.0,8.67
J,"Publishing, Audio-Visual and Information",6,Total annual output of enterprises,million NTD,43504.0,82863.0,172398.0,331788.0,672543.0,712495.0,854136.0,988687.0,1107669.0,12.03
J,"Publishing, Audio-Visual and Information",7,Gross value added of enterprises,million NTD,29355.0,59465.0,110656.0,209103.0,324093.0,329898.0,407853.0,461135.0,551687.0,19.64
J,"Publishing, Audio-Visual and Information",8,Net assets in actual use (year-end),million NTD,164608.0,250417.0,394983.0,733531.0,1602589.0,1671838.0,1726795.0,2171485.0,2611519.0,20.26
J,"Publishing, Audio-Visual and Information",9,Net fixed assets in actual use (year-end),million NTD,39612.0,162124.0,289749.0,533769.0,1028714.0,842672.0,796194.0,932885.0,1055269.0,13.12
J,"Publishing, Audio-Visual and Information",10(1),Average number of employees per enterprise,persons,24.5,15.0,24.7,20.2,18.8,15.1,14.6,13.7,12.2,-10.96
J,"Publishing, Audio-Visual and Information",10(2),Average assets in actual use per enterprise,thousand NTD,66374.0,52797.0,104993.0,116267.0,184184.0,140443.0,131166.0,132166.0,113053.0,-14.46
J,"Publishing, Audio-Visual and Information",11,Labour equipment ratio,thousand NTD,2709.0,3524.0,4257.0,5760.0,9782.0,9323.0,9010.0,9615.0,9237.0,-3.93
J,"Publishing, Audio-Visual and Information",12,Labour productivity,thousand NTD,483.0,837.0,1193.0,1642.0,1978.0,1840.0,2128.0,2042.0,1951.0,-4.46
J,"Publishing, Audio-Visual and Information",13(1),Gross value added per NTD of assets in actual use,NTD,0.18,0.24,0.28,0.29,0.2,0.2,0.24,0.21,0.21,-0.52
J,"Publishing, Audio-Visual and Information",13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.74,0.37,0.38,0.39,0.32,0.39,0.51,0.49,0.52,5.76
J,"Publishing, Audio-Visual and Information",14,Labour compensation as % of total expenditures,%,27.2,29.82,29.01,32.62,21.56,19.43,20.35,20.15,26.12,5.97
J,"Publishing, Audio-Visual and Information",15(1),Value-added ratio,%,67.48,71.76,64.19,63.02,48.19,46.3,47.75,46.64,49.81,3.17
J,"Publishing, Audio-Visual and Information",15(2),Profit ratio,%,16.03,25.89,16.58,17.58,12.42,10.0,16.22,12.02,12.49,0.47
J,"Publishing, Audio-Visual and Information",15(3),Asset turnover ratio,%,26.74,33.65,45.66,46.17,43.3,45.07,50.75,48.93,44.03,-4.9
L,Real Estate,1,Number of enterprises (year-end),establishments,1952.0,1373.0,3874.0,11785.0,8701.0,15675.0,20076.0,28087.0,39635.0,41.12
L,Real Estate,2,Number of employees (year-end),persons,19701.0,14903.0,46588.0,91404.0,63035.0,83932.0,102246.0,120293.0,153846.0,27.89
L,Real Estate,3,Average annual labour compensation per employed worker,NTD,122938.0,190316.0,286526.0,502676.0,515133.0,557656.0,620300.0,602736.0,768380.0,27.48
